label,message,cleaned_message,message_length,word_count,has_number,has_currency,uppercase_ratio,label_encoded
ham,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...",until jurong point crazy available bugis great world buffet cine amore wat,111,20,0,0,0.02702702702702703,0
ham,Ok lar... Joking wif u oni...,lar joking wif oni,29,6,0,0,0.06896551724137931,0
spam,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,free entry wkly comp win cup final tkts text receive entry questionstd txt ratetcs apply overs,155,28,1,0,0.06451612903225806,1
ham,U dun say so early hor... U c already then say...,dun early hor already,49,11,0,0,0.04081632653061224,0
ham,"Nah I don't think he goes to usf, he lives around here though",nah dont goes usf lives around though,61,13,0,0,0.03278688524590164,0
spam,"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, å£1.50 to rcv",freemsg hey darling weeks word back like fun still xxx std chgs send rcv,148,32,1,1,0.0472972972972973,1
ham,Even my brother is not like to speak with me. They treat me like aids patent.,even brother like speak treat like aids patent,77,16,0,0,0.025974025974025976,0
ham,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,per request melle melle oru minnaminunginte nurungu vettam set callertune callers press copy friends callertune,160,26,1,0,0.0625,0
spam,WINNER!! As a valued network customer you have been selected to receivea å£900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,winner valued network customer selected receivea prize reward claim call claim code valid hours,158,26,1,1,0.0759493670886076,1
spam,Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,mobile months entitled update latest colour mobiles camera free call mobile update free,154,29,1,0,0.09090909090909091,1
ham,"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today.",gonna home soon dont talk stuff anymore tonight ive cried enough today,109,21,0,0,0.01834862385321101,0
spam,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info",six chances win cash pounds txt csh send cost pday days tsandcs apply reply info,136,26,1,0,0.125,1
spam,"URGENT! You have won a 1 week FREE membership in our å£100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18",urgent won week free membership prize jackpot txt word claim lccltd pobox ldnwarw,156,26,1,1,0.2564102564102564,1
ham,I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.,ive searching right words thank breather promise wont help granted fulfil promise wonderful blessing times,196,37,0,0,0.015306122448979591,0
ham,I HAVE A DATE ON SUNDAY WITH WILL!!,date sunday,35,8,0,0,0.7428571428571429,0
spam,"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL",xxxmobilemovieclub credit click wap link next txt message click xxxmobilemovieclubcomnqjkgighjjgcbl,149,19,0,0,0.15436241610738255,1
ham,Oh k...i'm watching here:),kim watching,26,4,0,0,0.038461538461538464,0
ham,Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.,remember spell name yes naughty until wet,81,19,1,0,0.037037037037037035,0
ham,Fine if thatåÕs the way u feel. ThatåÕs the way its gota b,fine thats way feel thats way gota,58,13,0,0,0.06896551724137931,0
spam,"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/Ì¼1.20 POBOXox36504W45WQ 16+",england macedonia dont miss goalsteam news txt national team england trywales scotland txt poboxoxwwq,156,24,1,0,0.21153846153846154,1
ham,Is that seriously how you spell his name?,seriously spell name,41,8,0,0,0.024390243902439025,0
ham,IÛ÷m going to try for 2 months ha ha only joking,going try months joking,49,11,1,0,0.04081632653061224,0
ham,So Ì_ pay first lar... Then when is da stock comin...,pay first lar stock comin,53,11,0,0,0.05660377358490566,0
ham,Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?,aft finish lunch str down lor ard smth lor finish lunch already,88,20,1,0,0.03409090909090909,0
ham,Ffffffffff. Alright no way I can meet up with you sooner?,ffffffffff alright way meet sooner,57,11,0,0,0.05263157894736842,0
ham,Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol,forced myself eat slice really hungry tho sucks mark getting worried knows sick turn down pizza lol,144,28,0,0,0.05555555555555555,0
ham,Lol your always so convincing.,lol always convincing,30,5,0,0,0.03333333333333333,0
ham,Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?,catch bus frying egg tea eating moms left over dinner feel love,134,32,0,0,0.04477611940298507,0
ham,"I'm back &amp; we're packing the car now, I'll let you know if there's room",back amp packing car ill theres room,75,15,0,0,0.02666666666666667,0
ham,Ahhh. Work. I vaguely remember that! What does it feel like? Lol,ahhh work vaguely remember feel like lol,64,12,0,0,0.078125,0
ham,"Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us",wait thats still clear sure being sarcastic thats doesnt live,130,26,0,0,0.007692307692307693,0
ham,Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You? ,yeah apologetic fallen actin like spoilt child caught till wont doing badly cheers,189,41,1,0,0.026455026455026454,0
ham,K tell me anything about you.,tell anything,29,6,0,0,0.034482758620689655,0
ham,For fear of fainting with the of all that housework you just did? Quick have a cuppa,fear fainting housework quick cuppa,84,17,0,0,0.023809523809523808,0
spam,Thanks for your subscription to Ringtone UK your mobile will be charged å£5/month Please confirm by replying YES or NO. If you reply NO you will not be charged,thanks subscription ringtone mobile charged month please confirm replying yes reply charged,159,29,1,1,0.08176100628930817,1
ham,Yup... Ok i go home look at the timings then i msg Ì_ again... Xuhui going to learn on 2nd may too but her lesson is at 8am,yup home look timings msg again xuhui going learn lesson,123,28,1,0,0.032520325203252036,0
ham,"Oops, I'll let you know when my roommate's done",oops ill roommates done,47,9,0,0,0.0425531914893617,0
ham,I see the letter B on my car,letter car,28,8,0,0,0.07142857142857142,0
ham,Anything lor... U decide...,anything lor decide,27,4,0,0,0.07407407407407407,0
ham,Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!,hello hows saturday texting youd decided anything tomo trying invite myself anything,155,30,0,0,0.025806451612903226,0
ham,Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola,pls ahead watts wanted sure great weekend abiola,82,17,0,0,0.04878048780487805,0
ham,"Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy",forget tell crave most love sweet arabian steed mmmmmm yummy,142,34,0,0,0.07042253521126761,0
spam,07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow,rodger burns msg tried call reply sms free nokia mobile free camcorder please call delivery tomorrow,172,33,1,0,0.040697674418604654,1
ham,WHO ARE YOU SEEING?,seeing,19,4,0,0,0.7894736842105263,0
ham,Great! I hope you like your man well endowed. I am  &lt;#&gt;  inches...,great hope like man well endowed ltgt inches,72,13,0,0,0.041666666666666664,0
ham,No calls..messages..missed calls,callsmessagesmissed calls,32,3,0,0,0.03125,0
ham,Didn't you get hep b immunisation in nigeria.,didnt hep immunisation nigeria,45,8,0,0,0.022222222222222223,0
ham,"Fair enough, anything going on?",fair enough anything going,31,5,0,0,0.03225806451612903,0
ham,"Yeah hopefully, if tyler can't do it I could maybe ask around a bit",yeah hopefully tyler cant maybe ask around bit,67,14,0,0,0.029850746268656716,0
ham,U don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not a weak sucker. Hospitals are for weak suckers.,dont stubborn didnt even hospital kept telling mark weak sucker hospitals weak suckers,148,30,0,0,0.0472972972972973,0
ham,What you thinked about me. First time you saw me in class.,thinked first time saw class,58,12,0,0,0.034482758620689655,0
ham,"A gram usually runs like  &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for  &lt;#&gt;",gram usually runs like ltgt half eighth smarter though gets almost whole second gram ltgt,124,23,0,0,0.008064516129032258,0
ham,K fyi x has a ride early tomorrow morning but he's crashing at our place tonight,fyi ride early tomorrow morning hes crashing place tonight,80,16,0,0,0.0125,0
ham,"Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about \the cave\"". I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing.""",wow never realized embarassed accomodations thought liked since doing best always seemed happy cave sorry didnt dont give sorry offered sorry room embarassing,291,55,0,0,0.024054982817869417,0
spam,SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV,sms sptv new jersey devils detroit red wings play ice hockey correct incorrect end reply end sptv,120,22,0,0,0.2,1
ham,Do you know what Mallika Sherawat did yesterday? Find out now @  &lt;URL&gt;,mallika sherawat yesterday find lturlgt,76,13,0,0,0.09210526315789473,0
spam,"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out! ",congrats year special cinema pass yours call suprman matrix starwars etc free bxipwe dont miss,161,27,1,0,0.07453416149068323,1
ham,"Sorry, I'll call later in meeting.",sorry ill call later meeting,34,6,0,0,0.058823529411764705,0
ham,Tell where you reached,tell reached,22,4,0,0,0.045454545454545456,0
ham,Yes..gauti and sehwag out of odi series.,yesgauti sehwag odi series,40,7,0,0,0.025,0
ham,Your gonna have to pick up a $1 burger for yourself on your way home. I can't even move. Pain is killing me.,gonna pick burger yourself way home cant even move pain killing,108,23,1,1,0.027777777777777776,0
ham,Ha ha ha good joke. Girls are situation seekers.,good joke girls situation seekers,48,9,0,0,0.041666666666666664,0
ham,Its a part of checking IQ,part checking,25,6,0,0,0.12,0
ham,"Sorry my roommates took forever, it ok if I come by now?",sorry roommates took forever,56,12,0,0,0.03571428571428571,0
ham,Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.,lar double check wif hair dresser already wun cut short cut until look nice,110,24,0,0,0.01818181818181818,0
spam,"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a å£1500 Bonus Prize, call 09066364589",valued customer pleased advise following recent review mob awarded bonus prize call,153,28,1,1,0.0392156862745098,1
ham,"Today is \song dedicated day..\"" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me...""",today song dedicated day song dedicate send valuable frnds first rply,124,23,0,0,0.024193548387096774,0
spam,"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or å£1000. To claim txt DIS to 87121 18+6*å£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ",urgent awarded complimentary trip eurodisinc trav acoentry claim txt dis morefrmmob shracomorsglsuplt,161,22,1,1,0.14906832298136646,1
spam,"Did you hear about the new \Divorce Barbie\""? It comes with all of Ken's stuff!""",hear new divorce barbie comes kens stuff,80,15,0,0,0.0625,1
ham,I plane to give on this month end.,plane give month end,34,8,0,0,0.029411764705882353,0
ham,Wah lucky man... Then can save money... Hee...,wah lucky man save money hee,46,8,0,0,0.06521739130434782,0
ham,Finished class where are you.,finished class,29,5,0,0,0.034482758620689655,0
